"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence1]]]]: PCCW 's chief operating officer , Mike Butcher , and Alex Arena , the chief financial officer , will report directly to Mr So .<SPLIT>[[[[Sentence2]]]]: Current Chief Operating Officer Mike Butcher and Group Chief Financial Officer Alex Arena will [[report]] to [[So]] .","[[[[Sentence1]]]]: PCCW 's chief operating officer , Mike Butcher , and Alex Arena , the chief financial officer , will report directly to Mr So .<SPLIT>[[[[Sentence2]]]]: Current Chief Operating Officer Mike Butcher and Group Chief Financial Officer Alex Arena will [[rapport]] to [[Bah]] .",0.0031818151473999023,0.9933409690856934,1,0,1,102,"Successful"
"[[[[Sentence1]]]]: The world 's [[two]] largest automakers said their U.S. [[sales]] declined more than predicted last month as a late summer sales frenzy caused more of an industry backlash than expected .<SPLIT>[[[[Sentence2]]]]: Domestic sales at both [[GM]] and No. 2 Ford Motor Co. declined more than predicted as a late summer sales frenzy prompted a larger-than-expected industry backlash .","[[[[Sentence1]]]]: The world 's [[three]] largest automakers said their U.S. [[merchandising]] declined more than predicted last month as a late summer sales frenzy caused more of an industry backlash than expected .<SPLIT>[[[[Sentence2]]]]: Domestic sales at both [[GE]] and No. 2 Ford Motor Co. declined more than predicted as a late summer sales frenzy prompted a larger-than-expected industry backlash .",0.009958148002624512,0.7653335928916931,1,0,1,62,"Successful"
"[[[[Sentence1]]]]: [[According]] to the federal Centers for Disease Control and [[Prevention]] ( news - web sites ) , there were 19 reported cases of measles in the United States in 2002 .<SPLIT>[[[[Sentence2]]]]: The Centers for Disease Control and Prevention said there were 19 reported cases of [[measles]] in the United States in 2002 .","[[[[Sentence1]]]]: [[Commensurate]] to the federal Centers for Disease Control and [[Prophylactic]] ( news - web sites ) , there were 19 reported cases of measles in the United States in 2002 .<SPLIT>[[[[Sentence2]]]]: The Centers for Disease Control and Prevention said there were 19 reported cases of [[syphilis]] in the United States in 2002 .",0.0021289587020874023,0.9626497030258179,1,0,1,101,"Successful"
"[[[[Sentence1]]]]: A tropical storm rapidly developed in the Gulf of Mexico Sunday and was expected to hit somewhere along the Texas or Louisiana coasts by Monday night .<SPLIT>[[[[Sentence2]]]]: A tropical storm rapidly developed in the Gulf of Mexico on Sunday and could have hurricane-force [[winds]] when it hits land somewhere along the Louisiana coast Monday night .","[[[[Sentence1]]]]: A tropical storm rapidly developed in the Gulf of Mexico Sunday and was expected to hit somewhere along the Texas or Louisiana coasts by Monday night .<SPLIT>[[[[Sentence2]]]]: A tropical storm rapidly developed in the Gulf of Mexico on Sunday and could have hurricane-force [[storm]] when it hits land somewhere along the Louisiana coast Monday night .",0.05490708351135254,0.9636767506599426,0,1,0,55,"Successful"
"[[[[Sentence1]]]]: The [[company]] didn 't [[detail]] the costs of the replacement and repairs .<SPLIT>[[[[Sentence2]]]]: But company [[officials]] [[expect]] the [[costs]] of the replacement work to [[run]] into the millions of dollars .","[[[[Sentence1]]]]: The [[enterprising]] didn 't [[particulars]] the costs of the replacement and repairs .<SPLIT>[[[[Sentence2]]]]: But company [[personnel]] [[expected]] the [[fresh]] of the replacement work to [[apply]] into the millions of dollars .",0.006655335426330566,0.5643759965896606,0,1,0,251,"Successful"
"[[[[Sentence1]]]]: [[The]] [[settling]] [[companies]] would also assign their possible [[claims]] against the underwriters to the investor plaintiffs , he [[added]] .<SPLIT>[[[[Sentence2]]]]: Under the [[agreement]] , the [[settling]] [[companies]] [[will]] also [[assign]] their potential [[claims]] against the underwriters to the [[investors]] , he [[added]] .","[[[[Sentence1]]]]: [[Both]] [[resolve]] [[airlines]] would also assign their possible [[debts]] against the underwriters to the investor plaintiffs , he [[including]] .<SPLIT>[[[[Sentence2]]]]: Under the [[bargain]] , the [[settlement]] [[enterprise]] [[eagerness]] also [[designate]] their potential [[pretensions]] against the underwriters to the [[investment]] , he [[adds]] .",0.0020971298217773438,0.5162537097930908,1,0,1,556,"Successful"
"[[[[Sentence1]]]]: Air Commodore Quaife said the Hornets remained on three-minute alert throughout the operation .<SPLIT>[[[[Sentence2]]]]: Air Commodore John Quaife said the security operation was [[unprecedented]] .","[[[[Sentence1]]]]: Air Commodore Quaife said the Hornets remained on three-minute alert throughout the operation .<SPLIT>[[[[Sentence2]]]]: Air Commodore John Quaife said the security operation was [[unstoppable]] .",0.02790910005569458,0.6460715532302856,0,1,0,40,"Successful"
"[[[[Sentence1]]]]: [[A]] Washington County man may have the countys first human case of West Nile virus , the [[health]] department said Friday .<SPLIT>[[[[Sentence2]]]]: The countys first and only human case of West Nile this year was confirmed by health [[officials]] on Sept . 8 .","[[[[Sentence1]]]]: [[another]] Washington County man may have the countys first human case of West Nile virus , the [[salud]] department said Friday .<SPLIT>[[[[Sentence2]]]]: The countys first and only human case of West Nile this year was confirmed by health [[official]] on Sept . 8 .",0.003920018672943115,0.8239840269088745,1,0,1,93,"Successful"
"[[[[Sentence1]]]]: [[Moseley]] and a senior aide delivered their summary assessments to about 300 American and allied military officers on Thursday .<SPLIT>[[[[Sentence2]]]]: General Moseley and a senior aide presented their assessments at an internal briefing for American and allied military officers at Nellis Air Force Base in Nevada on Thursday .","[[[[Sentence1]]]]: [[Trowbridge]] and a senior aide delivered their summary assessments to about 300 American and allied military officers on Thursday .<SPLIT>[[[[Sentence2]]]]: General Moseley and a senior aide presented their assessments at an internal briefing for American and allied military officers at Nellis Air Force Base in Nevada on Thursday .",0.4101361036300659,0.55436772108078,1,0,1,44,"Successful"
"[[[[Sentence1]]]]: The [[broader]] Standard & [[Poor]] 's 500 Index < .SPX > was 0.46 points [[lower]] , or 0.05 percent , at 997.02 .<SPLIT>[[[[Sentence2]]]]: [[The]] technology-laced Nasdaq [[Composite]] Index .IXIC was up 7.42 points , or 0.45 [[percent]] , at 1,653.44 .","[[[[Sentence1]]]]: The [[greater]] Standard & [[Dispossessed]] 's 500 Index < .SPX > was 0.46 points [[fewer]] , or 0.05 percent , at 997.02 .<SPLIT>[[[[Sentence2]]]]: [[Both]] technology-laced Nasdaq [[Consist]] Index .IXIC was up 7.42 points , or 0.45 [[ratios]] , at 1,653.44 .",0.006930530071258545,0.0335158109664917,0,0,0,247,"Failed"
