"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence1]]]]: PCCW 's chief operating officer , Mike Butcher , and Alex Arena , the chief financial officer , will report directly to Mr So .<SPLIT>[[[[Sentence2]]]]: Current Chief Operating Officer Mike Butcher and Group Chief Financial Officer Alex Arena will [[report]] to [[So]] .","[[[[Sentence1]]]]: PCCW 's chief operating officer , Mike Butcher , and Alex Arena , the chief financial officer , will report directly to Mr So .<SPLIT>[[[[Sentence2]]]]: Current Chief Operating Officer Mike Butcher and Group Chief Financial Officer Alex Arena will [[notifying]] to [[Well]] .",0.0053980350494384766,0.9919417500495911,1,0,1,102,"Successful"
"[[[[Sentence1]]]]: The world 's [[two]] largest automakers [[said]] their U.S. [[sales]] [[declined]] more than predicted last month as a late summer sales frenzy caused more of an industry backlash than expected .<SPLIT>[[[[Sentence2]]]]: Domestic [[sales]] at both GM and No. 2 Ford Motor Co. declined more than predicted as a late summer sales frenzy prompted a larger-than-expected industry [[backlash]] .","[[[[Sentence1]]]]: The world 's [[three]] largest automakers [[says]] their U.S. [[merchandising]] [[diminished]] more than predicted last month as a late summer sales frenzy caused more of an industry backlash than expected .<SPLIT>[[[[Sentence2]]]]: Domestic [[squalid]] at both GM and No. 2 Ford Motor Co. declined more than predicted as a late summer sales frenzy prompted a larger-than-expected industry [[bonanza]] .",0.003823518753051758,0.6647012233734131,1,0,1,205,"Successful"
"[[[[Sentence1]]]]: According to the federal Centers for Disease Control and [[Prevention]] ( news - web sites ) , there were 19 reported cases of [[measles]] in the United States in 2002 .<SPLIT>[[[[Sentence2]]]]: The Centers for Disease Control and Prevention said there were 19 reported cases of [[measles]] in the United States in 2002 .","[[[[Sentence1]]]]: According to the federal Centers for Disease Control and [[Prophylactic]] ( news - web sites ) , there were 19 reported cases of [[vaccines]] in the United States in 2002 .<SPLIT>[[[[Sentence2]]]]: The Centers for Disease Control and Prevention said there were 19 reported cases of [[morbidity]] in the United States in 2002 .",0.0026068687438964844,0.7845921516418457,1,0,1,106,"Successful"
"[[[[Sentence1]]]]: A tropical storm rapidly developed in the Gulf of Mexico Sunday and was expected to hit somewhere along the Texas or Louisiana coasts by Monday night .<SPLIT>[[[[Sentence2]]]]: A tropical storm rapidly developed in the Gulf of Mexico on Sunday and could have hurricane-force winds when it hits land somewhere along the Louisiana coast Monday night .","[[[[Sentence1]]]]: A tropical storm rapidly developed in the Gulf of Mexico Sunday and was expected to hit somewhere along the Texas or Louisiana coasts by Monday night .<SPLIT>[[[[Sentence2]]]]: A tropical storm rapidly developed in the Gulf of Mexico on Sunday and could have hurricane-force winds when it hits land somewhere along the Louisiana coast Monday night .",0.8470368385314941,0.8470368385314941,1,1,0,1,"Skipped"
"[[[[Sentence1]]]]: [[The]] [[company]] didn 't [[detail]] the [[costs]] of the [[replacement]] and [[repairs]] .<SPLIT>[[[[Sentence2]]]]: But [[company]] [[officials]] [[expect]] the [[costs]] of the [[replacement]] [[work]] to [[run]] into the [[millions]] of dollars .","[[[[Sentence1]]]]: [[Both]] [[undertaking]] didn 't [[clarity]] the [[expenditure]] of the [[supplant]] and [[rectify]] .<SPLIT>[[[[Sentence2]]]]: But [[firm]] [[directors]] [[waited]] the [[burdens]] of the [[substitutes]] [[operative]] to [[apply]] into the [[trillions]] of dollars .",0.012949466705322266,0.20386505126953125,0,0,0,411,"Failed"
"[[[[Sentence1]]]]: The settling companies would also assign their [[possible]] claims against the underwriters to the [[investor]] plaintiffs , he added .<SPLIT>[[[[Sentence2]]]]: [[Under]] the agreement , the settling companies will also assign their potential claims against the underwriters to the investors , he added .","[[[[Sentence1]]]]: The settling companies would also assign their [[imaginable]] claims against the underwriters to the [[investors]] plaintiffs , he added .<SPLIT>[[[[Sentence2]]]]: [[Around]] the agreement , the settling companies will also assign their potential claims against the underwriters to the investors , he added .",0.003528118133544922,0.5868840217590332,1,0,1,74,"Successful"
"[[[[Sentence1]]]]: Air Commodore Quaife said the Hornets remained on three-minute alert throughout the operation .<SPLIT>[[[[Sentence2]]]]: Air Commodore John Quaife said the security operation was [[unprecedented]] .","[[[[Sentence1]]]]: Air Commodore Quaife said the Hornets remained on three-minute alert throughout the operation .<SPLIT>[[[[Sentence2]]]]: Air Commodore John Quaife said the security operation was [[unstoppable]] .",0.017282307147979736,0.6044801473617554,0,1,0,39,"Successful"
"[[[[Sentence1]]]]: A Washington County man may have the countys first human case of West Nile virus , the [[health]] department said Friday .<SPLIT>[[[[Sentence2]]]]: The countys first and only human case of West Nile this year was confirmed by health officials on Sept . 8 .","[[[[Sentence1]]]]: A Washington County man may have the countys first human case of West Nile virus , the [[salud]] department said Friday .<SPLIT>[[[[Sentence2]]]]: The countys first and only human case of West Nile this year was confirmed by health officials on Sept . 8 .",0.026194393634796143,0.562766432762146,1,0,1,40,"Successful"
"[[[[Sentence1]]]]: [[Moseley]] and a senior aide delivered their summary assessments to about 300 American and allied military officers on Thursday .<SPLIT>[[[[Sentence2]]]]: General Moseley and a senior aide presented their assessments at an internal [[briefing]] for American and allied military officers at Nellis Air Force Base in Nevada on Thursday .","[[[[Sentence1]]]]: [[Burgess]] and a senior aide delivered their summary assessments to about 300 American and allied military officers on Thursday .<SPLIT>[[[[Sentence2]]]]: General Moseley and a senior aide presented their assessments at an internal [[briefed]] for American and allied military officers at Nellis Air Force Base in Nevada on Thursday .",0.0962439775466919,0.6203618049621582,1,0,1,83,"Successful"
"[[[[Sentence1]]]]: [[The]] broader [[Standard]] & [[Poor]] 's 500 [[Index]] < .SPX > was 0.46 [[points]] [[lower]] , or 0.05 [[percent]] , at 997.02 .<SPLIT>[[[[Sentence2]]]]: [[The]] technology-laced Nasdaq Composite Index .IXIC was up 7.42 [[points]] , or 0.45 [[percent]] , at 1,653.44 .","[[[[Sentence1]]]]: [[Both]] broader [[Stallion]] & [[Insufficient]] 's 500 [[Pointers]] < .SPX > was 0.46 [[facets]] [[slower]] , or 0.05 [[hundred]] , at 997.02 .<SPLIT>[[[[Sentence2]]]]: [[Both]] technology-laced Nasdaq Composite Index .IXIC was up 7.42 [[item]] , or 0.45 [[percentage]] , at 1,653.44 .",0.011066079139709473,0.033172428607940674,0,0,0,253,"Failed"
